DATE,PCPI27001,PCPI27003,PCPI27005,PCPI27007,PCPI27009,PCPI27011,PCPI27013,PCPI27015,PCPI27017,PCPI27019,PCPI27021,PCPI27023,PCPI27025,PCPI27027,PCPI27029,PCPI27031,PCPI27033,PCPI27035,PCPI27037,PCPI27039,PCPI27041,PCPI27043,PCPI27045,PCPI27047,PCPI27049,PCPI27051,PCPI27053,PCPI27055,PCPI27057,PCPI27059,PCPI27061,PCPI27063,PCPI27065,PCPI27067,PCPI27069,PCPI27071,PCPI27145,PCPI27147,PCPI27149,PCPI27151,PCPI27153,PCPI27155,PCPI27157,PCPI27159,PCPI27161,PCPI27163,PCPI27165,PCPI27167,PCPI27169,PCPI27171,PCPI27173,PCPI27097,PCPI27099,PCPI27101,PCPI27103,PCPI27105,PCPI27107,PCPI27109,PCPI27111,PCPI27113,PCPI27115,PCPI27117,PCPI27119,PCPI27121,PCPI27123,PCPI27125,PCPI27127,PCPI27129,PCPI27131,PCPI27133,PCPI27135,PCPI27139,PCPI27141,PCPI27143,PCPI27137,PCPI27073,PCPI27075,PCPI27077,PCPI27079,PCPI27081,PCPI27083,PCPI27087,PCPI27089,PCPI27091,PCPI27085,PCPI27093,PCPI27095
1/1/2010,30005,38775,35157,30922,33728,39185,33635,38326,33075,51893,34479,38481,35604,33791,30681,40263,36323,33936,44973,37106,43255,36624,35794,34935,39746,38427,54546,38739,31084,33866,32352,40920,30076,39743,40645,34721,34577,36650,40344,36385,32711,41137,36513,29465,37684,47975,34669,44148,35018,37179,39645,32245,36601,43989,36919,36170,35791,45268,34832,39336,28404,41739,36498,35682,41335,35631,41357,40643,33566,38976,36022,44723,35125,36753,37551,44328,36094,37330,35205,36404,37434,27923,38462,40094,35444,33575,31575
1/1/2011,30716,40828,37404,32106,35068,40933,36403,42245,34097,55607,36312,42411,38213,35432,32849,42836,40618,35067,48269,40976,45281,41380,39002,37669,42246,40774,57345,40654,32300,35674,33939,46036,31755,41994,42135,35425,37465,38543,45867,41016,33677,43648,39556,31277,39978,51478,38685,46758,38631,39769,46136,34299,39502,49659,39588,39666,38121,45811,37875,41881,29570,45293,39207,39042,43332,38767,43893,43196,35296,44825,40212,47611,37715,39948,39907,46188,38385,38089,38152,41393,40535,30156,43056,42983,38257,35203,33076
1/1/2012,31114,41971,40082,33496,37089,49316,38482,44796,34149,58980,38365,46115,38945,37653,34316,45024,44114,36126,49316,44244,49625,44606,40711,38862,44610,51790,61311,43644,34520,35705,35150,49508,33250,44042,51861,35481,39070,39987,57761,46270,35823,65029,41908,32564,41933,52851,40275,54698,42619,41189,47261,35819,40935,50278,42396,40155,43519,47606,39445,45539,30289,47127,42755,43648,44671,43638,46144,48757,36878,46902,43516,49581,38798,42177,40575,52198,39686,39512,40455,43315,42244,33274,50684,46226,40394,37102,34334
1/1/2013,31648,42426,40111,33895,37626,49877,38815,43598,35294,59154,37603,44610,39984,38305,35184,44034,43214,36725,50004,43882,48494,43264,41539,40443,44537,50545,60162,43083,34575,36839,35340,48397,34301,43630,51561,35592,40127,41047,52983,44740,35290,62962,41805,33332,42333,54385,39241,54571,40532,41892,45468,35932,42232,48426,42582,39227,40730,47596,40295,46019,31132,45941,44177,44627,44780,43885,46991,49442,37102,44610,41305,49692,39905,41710,40065,49884,40107,39984,40709,42046,43206,32892,50579,44625,40537,36602,35266
1/1/2014,33839,44541,40856,36074,38813,46553,40517,44685,36518,61892,38870,41459,41750,38857,37598,44951,42317,38973,51983,41423,46179,39163,41528,39579,46938,46339,63387,44785,35749,38034,37095,46459,36748,44425,45262,35512,42325,40675,52575,46579,37081,49759,43379,34703,42917,57518,37841,46566,43408,43734,45034,37769,41276,47556,42654,41262,33749,49070,42681,46566,32579,49274,41825,45147,46850,42854,49307,46411,38601,47943,41132,52103,41017,42002,41449,44094,42006,43540,42610,40930,43769,31734,47225,45693,42731,38089,36855
1/1/2015,35011,46281,42360,37650,39794,49544,41859,46617,38280,64431,41533,42096,43772,40263,39067,47076,42872,40362,53770,42205,49126,39763,43774,40839,48632,47165,66282,45543,38974,39717,40032,47226,38732,48433,47077,36442,43033,41478,47417,51324,36914,54103,43730,35871,44646,60252,37988,48339,44835,45222,51432,38431,44330,49490,44719,42759,34635,50906,43026,47459,33787,48459,42615,46170,48934,44170,51090,48743,39881,48243,43649,53687,43003,43237,42430,46308,43395,48165,43877,41844,45454,32981,48343,46611,43326,40153,37953
1/1/2016,36320,47119,43035,38687,40754,47127,41057,46764,39002,64858,42949,41455,44743,39792,39795,47662,39891,41296,55099,41758,50091,36718,42401,40117,48117,43671,67255,46804,41989,41237,39735,45278,40483,48369,46393,37130,42957,41545,44480,45625,36182,49191,44049,36243,41347,61547,38537,47760,45921,46386,46984,38135,43513,44770,44241,38946,33932,52149,42946,48446,35099,45090,42871,45123,49916,44460,46384,45525,40079,44203,43000,55757,44069,42218,42141,45369,42230,47866,45436,40139,44079,33045,49300,44614,43792,39606,38701
1/1/2017,37878,48830,44133,39695,42595,49047,41854,48033,40513,68112,44523,42904,46787,40239,41849,48900,43292,42526,57094,43781,49167,38651,42764,42361,49666,44959,69355,48113,44744,42106,40870,47879,41347,51200,47978,38148,44944,44114,45766,44895,39836,50511,46171,37205,41456,64385,40366,48882,46867,47853,47833,39898,44672,47410,46732,41383,35371,54102,44787,50517,36253,50543,43772,47422,51226,47842,44975,47194,41834,47555,44672,57918,46269,44183,43561,46605,44171,52409,46451,44010,47173,33248,49335,46843,44628,42061,39812
1/1/2018,40205,50439,45664,41993,43462,49767,44014,50055,42183,70859,46245,43964,48555,41890,45073,51857,45426,43717,59211,45770,50088,40006,43440,43490,51843,45636,73292,49875,48418,44404,43854,49789,42301,51170,49189,42105,46718,45070,45751,45463,41171,50566,47760,38544,41047,66354,41825,50054,47420,50010,50454,41377,45436,50242,48236,42242,36862,56674,45862,55024,37486,52014,45660,49278,53066,50698,47362,48409,43513,48384,48416,61143,47139,45579,46363,47462,47153,54502,48784,43396,48141,35243,53206,49686,46984,43682,41457
1/1/2019,41707,52535,47466,42635,45294,49386,44962,51980,43206,73273,46949,43939,50787,43263,45451,51605,44112,45812,60882,46449,51161,42119,43316,44443,53585,44904,75789,51043,52967,46135,44428,51179,43829,50457,46406,44476,48460,46169,46607,45235,42469,48781,49886,39349,41386,68878,43960,48323,48448,51880,55342,41502,45409,51675,49861,43012,37446,58043,46947,53734,38957,51582,46435,49519,54037,49968,51317,46783,44419,47573,47103,62438,49230,46716,47741,49057,46792,52824,49592,45616,48667,34864,52600,50548,47442,44069,43329
