Year,ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
2010,MN-001,Aitkin County,Minnesota,27.45,0.49,66,26.96
2010,MN-003,Anoka County,Minnesota,26.67,-2.54,41,29.21
2010,MN-005,Becker County,Minnesota,25.36,1.61,82,23.75
2010,MN-007,Beltrami County,Minnesota,22.94,-0.57,54,23.51
2010,MN-009,Benton County,Minnesota,27.65,0.96,70,26.69
2010,MN-011,Big Stone County,Minnesota,28.5,5.89,111,22.61
2010,MN-013,Blue Earth County,Minnesota,27.61,-1.24,52,28.85
2010,MN-015,Brown County,Minnesota,26.88,-0.95,55,27.83
2010,MN-017,Carlton County,Minnesota,28.45,0.48,66,27.97
2010,MN-019,Carver County,Minnesota,27.82,-0.72,59,28.54
2010,MN-021,Cass County,Minnesota,25.51,-0.05,52,25.56
2010,MN-023,Chippewa County,Minnesota,27.48,2.76,89,24.72
2010,MN-025,Chisago County,Minnesota,23.13,-6.15,12,29.28
2010,MN-027,Clay County,Minnesota,26.31,4.6,109,21.71
2010,MN-029,Clearwater County,Minnesota,24.25,0.68,69,23.57
2010,MN-031,Cook County,Minnesota,28.46,-0.83,52,29.29
2010,MN-033,Cottonwood County,Minnesota,27.39,0.53,70,26.86
2010,MN-035,Crow Wing County,Minnesota,29.49,3.76,95,25.73
2010,MN-037,Dakota County,Minnesota,27.75,-1.58,53,29.33
2010,MN-039,Dodge County,Minnesota,30.5,0.25,65,30.25
2010,MN-041,Douglas County,Minnesota,24.45,-0.37,58,24.82
2010,MN-043,Faribault County,Minnesota,31.19,1.58,79,29.61
2010,MN-045,Fillmore County,Minnesota,32.38,0.35,65,32.03
2010,MN-047,Freeborn County,Minnesota,31.21,0.39,67,30.82
2010,MN-049,Goodhue County,Minnesota,27.88,-1.92,47,29.8
2010,MN-051,Grant County,Minnesota,25.27,1.81,85,23.46
2010,MN-053,Hennepin County,Minnesota,26.61,-2.38,40,28.99
2010,MN-055,Houston County,Minnesota,32.49,0.21,59,32.28
2010,MN-057,Hubbard County,Minnesota,24.06,-1.15,47,25.21
2010,MN-059,Isanti County,Minnesota,25.08,-3.72,29,28.8
2010,MN-061,Itasca County,Minnesota,23.95,-1.45,40,25.4
2010,MN-063,Jackson County,Minnesota,29.32,1.84,84,27.48
2010,MN-065,Kanabec County,Minnesota,27.42,-0.49,54,27.91
2010,MN-067,Kandiyohi County,Minnesota,27.81,2.46,93,25.35
2010,MN-069,Kittson County,Minnesota,23.39,3.2,97,20.19
2010,MN-071,Koochiching County,Minnesota,25.88,0.27,60,25.61
2010,MN-073,Lac qui Parle County,Minnesota,27.5,3.61,97,23.89
2010,MN-075,Lake County,Minnesota,27.04,-1.58,40,28.62
2010,MN-077,Lake of the Woods County,Minnesota,22.87,-0.02,62,22.89
2010,MN-079,Le Sueur County,Minnesota,26.85,-2.28,42,29.13
2010,MN-081,Lincoln County,Minnesota,25.63,1.06,75,24.57
2010,MN-083,Lyon County,Minnesota,24.56,-0.28,65,24.84
2010,MN-085,McLeod County,Minnesota,27.74,0.12,65,27.62
2010,MN-087,Mahnomen County,Minnesota,26.1,3.1,94,23
2010,MN-089,Marshall County,Minnesota,22.86,2.25,94,20.61
2010,MN-091,Martin County,Minnesota,30.05,1.43,82,28.62
2010,MN-093,Meeker County,Minnesota,28.18,2.04,88,26.14
2010,MN-095,Mille Lacs County,Minnesota,26.98,-0.52,57,27.5
2010,MN-097,Morrison County,Minnesota,28.98,3.12,89,25.86
2010,MN-099,Mower County,Minnesota,34.06,2.42,82,31.64
2010,MN-101,Murray County,Minnesota,25.95,-0.09,69,26.04
2010,MN-103,Nicollet County,Minnesota,26.14,-2.83,42,28.97
2010,MN-105,Nobles County,Minnesota,28.18,1.1,76,27.08
2010,MN-107,Norman County,Minnesota,26.8,5.37,115,21.43
2010,MN-109,Olmsted County,Minnesota,30.59,-0.36,61,30.95
2010,MN-111,Otter Tail County,Minnesota,27.8,3.79,100,24.01
2010,MN-113,Pennington County,Minnesota,24.65,3.37,102,21.28
2010,MN-115,Pine County,Minnesota,26.55,-2.22,39,28.77
2010,MN-117,Pipestone County,Minnesota,25.57,0.58,72,24.99
2010,MN-119,Polk County,Minnesota,25.33,4.2,108,21.13
2010,MN-121,Pope County,Minnesota,26.08,1.66,79,24.42
2010,MN-123,Ramsey County,Minnesota,25.12,-4.01,31,29.13
2010,MN-125,Red Lake County,Minnesota,26.38,4.84,111,21.54
2010,MN-127,Redwood County,Minnesota,25.44,-0.49,56,25.93
2010,MN-129,Renville County,Minnesota,28.43,1.99,84,26.44
2010,MN-131,Rice County,Minnesota,29.02,-0.3,57,29.32
2010,MN-133,Rock County,Minnesota,25.38,-0.65,61,26.03
2010,MN-135,Roseau County,Minnesota,25.39,4.12,110,21.27
2010,MN-137,St. Louis County,Minnesota,25.85,-1.35,45,27.2
2010,MN-139,Scott County,Minnesota,27.91,-1.04,57,28.95
2010,MN-141,Sherburne County,Minnesota,26.83,-0.88,54,27.71
2010,MN-143,Sibley County,Minnesota,26.68,-1.91,50,28.59
2010,MN-145,Stearns County,Minnesota,29.9,4.49,100,25.41
2010,MN-147,Steele County,Minnesota,29.57,-0.05,62,29.62
2010,MN-149,Stevens County,Minnesota,25.26,1.95,83,23.31
2010,MN-151,Swift County,Minnesota,25.97,1.82,80,24.15
2010,MN-153,Todd County,Minnesota,26.84,1.79,78,25.05
2010,MN-155,Traverse County,Minnesota,25.78,3.68,101,22.1
2010,MN-157,Wabasha County,Minnesota,30.44,-0.19,59,30.63
2010,MN-159,Wadena County,Minnesota,27.1,1.73,84,25.37
2010,MN-161,Waseca County,Minnesota,27.57,-1.61,49,29.18
2010,MN-163,Washington County,Minnesota,26.4,-3.04,38,29.44
2010,MN-165,Watonwan County,Minnesota,26.98,-1.09,55,28.07
2010,MN-167,Wilkin County,Minnesota,27.81,5.63,116,22.18
2010,MN-169,Winona County,Minnesota,32.06,0.19,60,31.87
2010,MN-171,Wright County,Minnesota,28.34,0.71,67,27.63
2010,MN-173,Yellow Medicine County,Minnesota,26.36,1.72,77,24.64
2011,MN-001,Aitkin County,Minnesota,31.27,4.31,102,26.96
2011,MN-003,Anoka County,Minnesota,35.88,6.67,113,29.21
2011,MN-005,Becker County,Minnesota,32.74,8.99,129,23.75
2011,MN-007,Beltrami County,Minnesota,28.08,4.57,114,23.51
2011,MN-009,Benton County,Minnesota,36.42,9.73,123,26.69
2011,MN-011,Big Stone County,Minnesota,29.94,7.33,119,22.61
2011,MN-013,Blue Earth County,Minnesota,42.01,13.16,126,28.85
2011,MN-015,Brown County,Minnesota,37.53,9.7,121,27.83
2011,MN-017,Carlton County,Minnesota,33.65,5.68,110,27.97
2011,MN-019,Carver County,Minnesota,36.31,7.77,119,28.54
2011,MN-021,Cass County,Minnesota,30.22,4.66,113,25.56
2011,MN-023,Chippewa County,Minnesota,35.51,10.79,127,24.72
2011,MN-025,Chisago County,Minnesota,36.59,7.31,114,29.28
2011,MN-027,Clay County,Minnesota,31.63,9.92,129,21.71
2011,MN-029,Clearwater County,Minnesota,29.53,5.96,120,23.57
2011,MN-031,Cook County,Minnesota,28.35,-0.94,50,29.29
2011,MN-033,Cottonwood County,Minnesota,38.97,12.11,122,26.86
2011,MN-035,Crow Wing County,Minnesota,31.19,5.46,110,25.73
2011,MN-037,Dakota County,Minnesota,39.39,10.06,126,29.33
2011,MN-039,Dodge County,Minnesota,40.18,9.93,120,30.25
2011,MN-041,Douglas County,Minnesota,35.01,10.19,124,24.82
2011,MN-043,Faribault County,Minnesota,41.69,12.08,123,29.61
2011,MN-045,Fillmore County,Minnesota,41.49,9.46,119,32.03
2011,MN-047,Freeborn County,Minnesota,38.99,8.17,116,30.82
2011,MN-049,Goodhue County,Minnesota,41.5,11.7,125,29.8
2011,MN-051,Grant County,Minnesota,31.66,8.2,123,23.46
2011,MN-053,Hennepin County,Minnesota,35.34,6.35,110,28.99
2011,MN-055,Houston County,Minnesota,44.6,12.32,125,32.28
2011,MN-057,Hubbard County,Minnesota,29.6,4.39,111,25.21
2011,MN-059,Isanti County,Minnesota,37.22,8.42,119,28.8
2011,MN-061,Itasca County,Minnesota,30.23,4.83,114,25.4
2011,MN-063,Jackson County,Minnesota,37.98,10.5,123,27.48
2011,MN-065,Kanabec County,Minnesota,39.68,11.77,127,27.91
2011,MN-067,Kandiyohi County,Minnesota,36.97,11.62,128,25.35
2011,MN-069,Kittson County,Minnesota,30.1,9.91,129,20.19
2011,MN-071,Koochiching County,Minnesota,30.39,4.78,112,25.61
2011,MN-073,Lac qui Parle County,Minnesota,31.89,8,118,23.89
2011,MN-075,Lake County,Minnesota,28.24,-0.38,59,28.62
2011,MN-077,Lake of the Woods County,Minnesota,29.02,6.13,120,22.89
2011,MN-079,Le Sueur County,Minnesota,39.76,10.63,124,29.13
2011,MN-081,Lincoln County,Minnesota,39.55,14.98,128,24.57
2011,MN-083,Lyon County,Minnesota,40.04,15.2,127,24.84
2011,MN-085,McLeod County,Minnesota,36.39,8.77,124,27.62
2011,MN-087,Mahnomen County,Minnesota,32.3,9.3,128,23
2011,MN-089,Marshall County,Minnesota,27.96,7.35,126,20.61
2011,MN-091,Martin County,Minnesota,40.01,11.39,124,28.62
2011,MN-093,Meeker County,Minnesota,35.38,9.24,121,26.14
2011,MN-095,Mille Lacs County,Minnesota,38.24,10.74,126,27.5
2011,MN-097,Morrison County,Minnesota,33.49,7.63,121,25.86
2011,MN-099,Mower County,Minnesota,39.62,7.98,111,31.64
2011,MN-101,Murray County,Minnesota,38.41,12.37,125,26.04
2011,MN-103,Nicollet County,Minnesota,37.65,8.68,120,28.97
