date,rate
1/1/2010,71.4
2/1/2010,71.5
3/1/2010,71.6
4/1/2010,71.6
5/1/2010,71.6
6/1/2010,71.6
7/1/2010,71.5
8/1/2010,71.4
9/1/2010,71.4
10/1/2010,71.3
11/1/2010,71.3
12/1/2010,71.2
1/1/2011,71.2
2/1/2011,71.2
3/1/2011,71.2
4/1/2011,71.2
5/1/2011,71.2
6/1/2011,71.2
7/1/2011,71.2
8/1/2011,71.2
9/1/2011,71.1
10/1/2011,71
11/1/2011,70.9
12/1/2011,70.8
1/1/2012,70.7
2/1/2012,70.6
3/1/2012,70.5
4/1/2012,70.5
5/1/2012,70.4
6/1/2012,70.4
7/1/2012,70.4
8/1/2012,70.4
9/1/2012,70.5
10/1/2012,70.5
11/1/2012,70.6
12/1/2012,70.6
1/1/2013,70.5
2/1/2013,70.5
3/1/2013,70.4
4/1/2013,70.3
5/1/2013,70.3
6/1/2013,70.2
7/1/2013,70.1
8/1/2013,70.1
9/1/2013,70
10/1/2013,70
11/1/2013,70
12/1/2013,70
1/1/2014,70
2/1/2014,70
3/1/2014,70
4/1/2014,70
5/1/2014,70
6/1/2014,70.1
7/1/2014,70.1
8/1/2014,70.1
9/1/2014,70.2
10/1/2014,70.2
11/1/2014,70.1
12/1/2014,70.1
1/1/2015,70.1
2/1/2015,70.1
3/1/2015,70.2
4/1/2015,70.2
5/1/2015,70.3
6/1/2015,70.3
7/1/2015,70.2
8/1/2015,70.2
9/1/2015,70.1
10/1/2015,70.1
11/1/2015,70.2
12/1/2015,70.2
1/1/2016,70.3
2/1/2016,70.3
3/1/2016,70.2
4/1/2016,70.1
5/1/2016,70
6/1/2016,70
7/1/2016,69.9
8/1/2016,69.9
9/1/2016,69.9
10/1/2016,69.9
11/1/2016,69.9
12/1/2016,69.9
1/1/2017,70
2/1/2017,70.1
3/1/2017,70.1
4/1/2017,70.2
5/1/2017,70.2
6/1/2017,70.2
7/1/2017,70.2
8/1/2017,70.2
9/1/2017,70.1
10/1/2017,70
11/1/2017,70
12/1/2017,69.9
1/1/2018,69.7
2/1/2018,69.7
3/1/2018,69.7
4/1/2018,69.7
5/1/2018,69.7
6/1/2018,69.6
7/1/2018,69.5
8/1/2018,69.5
9/1/2018,69.4
10/1/2018,69.5
11/1/2018,69.5
12/1/2018,69.6
1/1/2019,69.7
2/1/2019,69.7
3/1/2019,69.7
4/1/2019,69.7
5/1/2019,69.8
6/1/2019,69.8
7/1/2019,69.9
8/1/2019,70
9/1/2019,70
10/1/2019,70
11/1/2019,70.1
12/1/2019,70.1
1/1/2020,70.1
2/1/2020,70
3/1/2020,69.8
4/1/2020,67.1
5/1/2020,68.7
6/1/2020,70.4
7/1/2020,71
8/1/2020,70.8
9/1/2020,70.5
10/1/2020,69.9
11/1/2020,69.4
12/1/2020,68.8
1/1/2021,68.3
2/1/2021,68
3/1/2021,67.8
4/1/2021,67.8
5/1/2021,67.8
6/1/2021,67.8
7/1/2021,67.7
8/1/2021,67.7
9/1/2021,67.7
10/1/2021,67.8
11/1/2021,67.9
12/1/2021,68
1/1/2022,68.1
2/1/2022,68.2
3/1/2022,68.2
4/1/2022,68.2
5/1/2022,68.2
6/1/2022,68.3
7/1/2022,68.3
8/1/2022,68.2
9/1/2022,68.1
10/1/2022,68.1
11/1/2022,68.1
12/1/2022,68.2
1/1/2023,68.3
2/1/2023,68.4
