"Year","County","Ag.District","cows_total_weight","Dairy_cows_total_poop_lb","Dairy_cows_total_N","Dairy_cows_total_P","Dairy_cows_total_K","feed_cows_total_weight","feed_cows_total_poop_lb","feed_cows_total_N","feed_cows_total_P","feed_cows_total_K","Hogs_total_weight","Hogs_total_poop_lb","Hogs_total_N","Hogs_total_P","Hogs_total_K","Turkey_total_weight","Turkey_total_poop_lb","Turkey_total_N","Turkey_total_P","Turkey_total_K"
2010,"AITKIN","EAST CENTRAL",17220000,686340000,4472280,2302560,2523960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"ANOKA","EAST CENTRAL",3080000,122760000,799920,411840,451440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"BECKER","NORTHWEST",37100000,1478700000,9635400,4960800,5437800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"BELTRAMI","NORTH CENTRAL",27860000,1110420000,7235640,3725280,4083480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"BENTON","CENTRAL",53200000,2120400000,13816800,7113600,7797600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"BIG STONE","WEST CENTRAL",8400000,334800000,2181600,1123200,1231200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"BLUE EARTH","SOUTH CENTRAL",19460000,775620000,5054040,2602080,2852280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"BROWN","SOUTH CENTRAL",6.3e+07,2.511e+09,16362000,8424000,9234000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"CARLTON","EAST CENTRAL",12040000,479880000,3126960,1609920,1764720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"CARVER","CENTRAL",39900000,1590300000,10362600,5335200,5848200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"CASS","NORTH CENTRAL",36400000,1450800000,9453600,4867200,5335200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"CHIPPEWA","WEST CENTRAL",12600000,502200000,3272400,1684800,1846800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"CHISAGO","EAST CENTRAL",14980000,597060000,3890520,2003040,2195640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
