"Year","County","Ag.District","CATTLE..COWS..BEEF...INVENTORY","CATTLE..COWS..MILK...INVENTORY","Turkeys","CPI","CORN..GRAIN...YIELD..MEASURED.IN.BU...ACRE","CORN..SILAGE...YIELD..MEASURED.IN.TONS...ACRE","SOYBEANS...YIELD..MEASURED.IN.BU...ACRE","SUGARBEETS...YIELD..MEASURED.IN.TONS...ACRE","Urea..46.0.0.","Potash..0.0.60.","Monammonium.Phosphate..MAP...11.52.0.","Diammonium.Phosphate..DAP...18.46.0.","Ammonia..82.0.0.","Estimated.Value.Per.Acre","Hogs","Feed_cows","Dairy_cows_total_poop_lb","Dairy_cows_total_N","Dairy_cows_total_P","Dairy_cows_total_K","Beef_cows_total_poop_lb","Beef_cows_total_N","Beef_cows_total_P","Beef_cows_total_K","feed_cows_total_poop_lb","feed_cows_total_N","feed_cows_total_P","feed_cows_total_K","Hogs_total_poop_lb","Hogs_total_N","Hogs_total_P","Hogs_total_K"
2010,"benton","CENTRAL",4600,12900,NA,57,153,NA,42.8,NA,1803,2533,0,640,681,2918,23865,4359,719820000,4690440,2414880,2647080,89424000,662400,662400,662400,84738960,627696,627696,627696,127152720,1460538,51548.4,773226
2010,"carver","CENTRAL",1500,9400,NA,78,186,19,51.6,NA,3687,3522,0,2554,2297,6441,29567,2941,524520000,3417840,1759680,1928880,29160000,216000,216000,216000,57173040,423504,423504,423504,157532976,1809500.4,63864.72,957970.8
2010,"kandiyohi","CENTRAL",2900,6700,NA,77,175.5,19,47.6,26.7,6954,6348,1476,5992,7914,3514,86583,2493,373860000,2436120,1254240,1374840,56376000,417600,417600,417600,48463920,358992,358992,358992,461314224,5298879.6,187019.28,2805289.2
2010,"mcleod","CENTRAL",2200,7600,NA,83,182.5,21,48.9,25.5,6053,5230,147,5100,5688,4638,9308,6055,424080000,2763360,1422720,1559520,42768000,316800,316800,316800,117709200,871920,871920,871920,49593024,569649.6,20105.28,301579.2
2010,"meeker","CENTRAL",3000,7400,NA,72,178.1,NA,48.5,26,6932,4009,2269,1981,6314,3296,14522,7035,412920000,2690640,1385280,1518480,58320000,432000,432000,432000,136760400,1013040,1013040,1013040,77373216,888746.4,31367.52,470512.8
2010,"morrison","CENTRAL",15900,25000,NA,49,159.1,20,45.8,NA,5144,3464,0,1172,804,2591,77871,8466,1.395e+09,9090000,4680000,5130000,309096000,2289600,2289600,2289600,164579040,1219104,1219104,1219104,414896688,4765705.2,168201.36,2523020.4
2010,"renville","CENTRAL",1700,2900,NA,87,186.1,NA,51.8,27.2,13599,7664,732,10761,10875,4504,280943,16654,161820000,1054440,542880,595080,33048000,244800,244800,244800,323753760,2398176,2398176,2398176,1496864304,17193711.6,606836.88,9102553.2
2010,"scott","CENTRAL",1600,5100,NA,36,185.6,22.5,51.1,NA,198,3,0,4,1817,7181,15487,5085,284580000,1854360,954720,1046520,31104000,230400,230400,230400,98852400,732240,732240,732240,82514736,947804.4,33451.92,501778.8
2010,"sherburne","CENTRAL",1300,500,NA,87,158.8,NA,39.8,NA,4529,6180,294,1321,2293,4531,8635,6280,27900000,181800,93600,102600,25272000,187200,187200,187200,122083200,904320,904320,904320,46007280,528462,18651.6,279774
2010,"sibley","CENTRAL",2700,7600,NA,22,189.3,NA,52.2,26.7,8746,8268,5741,2714,2678,4495,105238,9901,424080000,2763360,1422720,1559520,52488000,388800,388800,388800,192475440,1425744,1425744,1425744,560708064,6440565.6,227314.08,3409711.2
